day;date;sampling_hour.x;sample_id;project;campain;sampling_site;day_moment;date_hour.x;mean_syneccho;mean_picoeuk;mean_nanoeuk;mean_syneccho_population1;mean_synecco_population2;mean_prochloro;sd_syneccho;sd_picoeuk;sd_nanoeuk;sd_syneccho_population1;sd_synecco_population2;sd_prochloro;mean_HNA;mean_perc_HNA;mean_total_bac;mean_synec;mean_LNA;sd_HNA;sd_total_bac;sd_synec;sd_LNA;bac_heterotrophic;NOxT_mean;Nitrats_mean;Nitrits_mean;Amonio_mean;silicato_mean;Fosfato_mean;NOxT_sd;Nitrats_sd;Nitrits_sd;Amonio_sd;silicato_sd;Fosfato_sd;chla_mean;chla_sd;Temp;Sal;Fluo;Turb;Density
14M;14/9/21;10:30:00;HFS_BL210914M;MIAU;HFS;BBMO;morning;14/9/21 10:30;52628.125;646.25;378.125;8376.041667;43667.70833;5747.5;1293.121526;32.4090608;55.09540337;904.2127964;288.4406412;628.7357796;452916.75;0.601872893;761400.75;44489.27083;299595.5417;12889.08348;17088.0014;4451.384501;7015.913483;716911.4792;0.2;0.178;0.022;1.0585;0.605;1.055;0.008485281;0.009899495;0.001414214;0.075660426;0.031112698;0.134350288;0.168;0.005774705;23.6;37.92;0.16;0.21;26.01
14T;14/9/21;16:30:00;HFS_BL210914T;MIAU;HFS;BBMO;afternoon;14/9/21 16:30;51161.45833;426.25;286.4583333;8630.416667;40260;10415.625;975.5127302;45.37268513;35.64996688;900.9718904;324.090608;2907.092754;443145.0833;0.578146069;789785.5625;44442.29167;323348.2083;24077.33945;31850.65269;1674.252081;19187.46036;745343.2708;0.276;0.2535;0.0225;0.235;0.9095;0.0155;0.111722871;0.111015765;0.000707107;0;0.048790368;0.00212132;0.191333333;0.017324116;23.9;;;;
15M;15/9/21;10:30:00;HFS_BL210915M;MIAU;HFS;BBMO;morning;15/9/21 10:30;44884.58333;311.6666667;279.5833333;10640.20833;33639.375;4817.083333;2067.698079;200.936177;155.5634919;1286.639714;3133.95618;700.0357134;444197.4167;0.570139894;878219.1458;42534.9375;334905.0833;15121.41959;15506.76332;3175.763868;11746.34;835684.2083;1.719;1.6965;0.0225;0.2765;0.3835;0.0225;0.890954544;0.890247438;0.000707107;0.040305087;0.000707107;0.007778175;0.288166667;0.020623948;24.1;37.93;0.27;3.27;25.81
15T;15/9/21;16:30:00;HFS_BL210915T;MIAU;HFS;BBMO;afternoon;15/9/21 16:30;52823.42083;94.89791667;85.63958333;8809.304167;32272.23542;251016.5625;1708.670504;9.819945424;16.36657571;196.3989085;801.9622096;80791.96432;463195.7917;0.643728291;793666.0417;35666.58333;256355.9167;15971.83335;16476.76651;4464.672216;1435.073212;757999.4583;1.613;1.589;0.024;0.229;0.7225;0.024;0.299813275;0.298399062;0.001414214;0.033941125;0.150613744;0.001414214;0.194833333;0.000824958;24.3;;;;
16M;16/9/21;10:10:00;HFS_BL210916M;MIAU;HFS;BBMO;morning;16/9/21 10:10;55482.87708;122.6729167;90.26875;9117.14375;46136.58958;10042.97708;1607.197734;55.6463574;22.91320599;166.9390722;1757.770231;363.3379807;532245.7708;0.627584144;870354.8333;47035.54167;315840.9375;23346.51513;47968.6509;5022.756243;31797.50183;823319.2917;3.1575;3.121;0.0365;0.3495;0.8645;0.0325;2.874389066;2.872267745;0.00212132;0.126572114;0.009192388;0.000707107;0.189;0.018974032;23.1;37.6;0.09;0.87;25.87
16T;16/9/21;16:15:00;HFS_BL210916T;MIAU;HFS;BBMO;afternoon;16/9/21 16:15;46465.26042;134.2458333;152.7625;9126.402083;30348.81667;161386.6375;2909.977161;39.27978169;0;448.4441744;189.8522782;32962.28347;453649.625;0.575395359;825423.9583;35149.8125;334764.1458;14643.06185;15652.92819;1448.360927;39105.74504;790274.1458;0.9375;0.881;0.0565;0.777;0.814;0.0445;0.030405592;0.033941125;0.003535534;0.005656854;0.002828427;0.000707107;0.238;0.00412479;24.7;37.15;2.35;6.06;25.1
17M;17/9/21;10:00:00;HFS_BL210917M;MIAU;HFS;BBMO;morning;17/9/21 10:00;43345.20208;381.90625;224.5145833;11221.1;38345.70208;131519.2542;2425.52652;206.2188539;88.37950881;399.3444472;2995.083354;56143.9013;559240;0.510668966;1083846.958;52541.5;535872.5625;25034.05493;37896.56298;1142.743484;20423.21785;1031305.458;2.8775;2.7655;0.112;1.4025;2.042;0.134;0.168998521;0.170412734;0.001414214;0.234052345;0.041012193;0.005656854;0.337166667;0.017324116;23.2;36.94;0.34;3.4;25.31
17T;17/9/21;16:00:00;HFS_BL210917T;MIAU;HFS;BBMO;afternoon;17/9/21 16:00;48029.91875;148.1333333;138.875;11390.06458;33892.44375;11684.01667;245.4986356;32.73315141;6.546630282;147.2991814;193.1255933;667.7562888;509489.0625;0.586108499;975221.7292;40580.60417;359785.25;27253.10332;9607.017894;624.5226017;34096.27651;934641.125;1.2655;1.227;0.0385;1.008;1.0355;0.0315;0.255265548;0.253144228;0.00212132;0.151320851;0.003535534;0.004949747;0.289333333;0.000824958;22.8;37.55;2.12;6.17;25.51
18M;18/9/21;10:00:00;HFS_BL210918M;MIAU;HFS;BBMO;morning;18/9/21 10:00;52163.76458;300.8958333;108.7854167;8725.979167;42812.84792;10945.66458;841.2419913;98.19945424;42.55309684;45.82641198;769.2290582;1541.731432;620237.75;0.600709801;1054287.667;54655.5625;412270.375;6750.159184;6192.075157;544.7963121;2471.514977;999632.1042;1.618;1.5765;0.0415;0.6985;1.218;0.025;0.554371716;0.555078823;0.000707107;0.236880772;0.002828427;0.001414214;0.284666667;0.012374369;23.4;37.77;0.2;0.52;26.06
18T;18/9/21;16:00:00;HFS_BL210918T;MIAU;HFS;BBMO;afternoon;18/9/21 16:00;29765.5875;163.521875;122.065625;5416.95;20394.17188;122692.075;475.5381492;22.79977428;35.82821672;201.9408579;667.7076752;78333.51019;407426.25;0.681967572;642653.55;22898.15;190001.35;21513.65311;4165.212495;1282.62099;10459.31138;619755.4;0.3025;0.2815;0.021;0.2945;0.534;0.0355;0.030405592;0.030405592;0;0.031819805;0.009899495;0.00212132;0.127166667;0.009074537;22.4;37.75;1.33;6.28;25.5
19M;19/9/21;10:00:00;HFS_BL210919M;MIAU;HFS;BBMO;morning;19/9/21 10:00;32890.92813;290.19375;96.73125;8369.55625;22853.90938;40576.45625;537.4232508;71.65643344;0;19.54266367;22.79977428;4840.066368;451670.45;0.684642422;736639.75;31135.5;208046.85;20614.49612;7656.057252;132.2289681;13659.2524;705504.25;0.169;0.154;0.015;0.11;0.4665;0.0085;0.004242641;0.004242641;0;0.018384776;0.010606602;0.000707107;0.119583333;0.014849242;24.6;37.81;0.14;0.11;25.57
19T;19/9/21;16:00:00;HFS_BL210919T;MIAU;HFS;BBMO;afternoon;19/9/21 16:00;37573.18125;181.946875;124.36875;7835.23125;22540.68438;40730.76563;3159.397293;29.3139955;19.54266367;332.2252823;602.565463;26639.90769;440076.45;0.677223022;700343.05;25890.15;209748.55;19741.78493;26882.14921;489.2471819;16568.2897;674452.9;1.955;1.9205;0.0345;1.0305;0.439;0.0155;1.776252234;1.776959341;0.000707107;0.065760931;0.018384776;0.004949747;0.145833333;0.005774705;23.6;37.81;1.37;10.61;25.59
