"day"	"date"	"sampling_hour"	"sample_id"	"project"	"campain"	"sampling_site"	"day_moment"	"date_hour"	"mean_syneccho"	"mean_picoeuk"	"mean_nanoeuk"	"mean_syneccho_population1"	"mean_synecco_population2"	"mean_prochloro"	"sd_syneccho"	"sd_picoeuk"	"sd_nanoeuk"	"sd_syneccho_population1"	"sd_synecco_population2"	"sd_prochloro"	"mean_HNA"	"mean_perc_HNA"	"mean_total_bac"	"mean_synec"	"mean_LNA"	"sd_HNA"	"sd_total_bac"	"sd_synec"	"sd_LNA"	"bac_heterotrophic"	"NOxT_mean"	"Nitrats_mean"	"Nitrits_mean"	"Amonio_mean"	"silicato_mean"	"Fosfato_mean"	"NOxT_sd"	"Nitrats_sd"	"Nitrits_sd"	"Amonio_sd"	"silicato_sd"	"Fosfato_sd"	"chla_mean"	"chla_sd"	"Temp"	"Sal"	"Fluo"	"Turb"	"Density"	"season"
"1"	"8M"	"8/2/21 10:00"	"10:00:00"	"HFW-210208M"	"MIAU"	"HFW"	"BBMO"	"morning"	"8/2/21 10:00"	"2388.057604"	"3415.648596"	"721.3573435"	NA	NA	"3007.216774"	"17.54064631"	"519.4072724"	"253.6237664"	NA	NA	"1328.074336"	"143109.868"	"0.735139788"	"290677.8346"	NA	"51522.65449"	"51522.65449"	"33080.63638"	NA	"6237.655075"	NA	"1.0525"	"0.89"	"0.1625"	"0.4645"	"0.5565"	"0.043"	"0.058689863"	"0.053740115"	"0.004949747"	"0.070003571"	"0.031819805"	"0.001414214"	"1.213916667"	"0.098994949"	"13.1902"	"38.136"	"0.664"	"0.194"	"28.7898"	"Winter"
"2"	"8T"	"8/2/21 17:00"	"17:00:00"	"HFW-210208T"	"MIAU"	"HFW"	"BBMO"	"afternoon"	"8/2/21 17:00"	"2095.666208"	"2496.493554"	"755.1244865"	NA	NA	"2002.455216"	"30.02690665"	"254.447865"	"61.04761164"	NA	NA	"10.64783924"	"140822.1264"	"0.724539123"	"324709.5571"	NA	"53538.9691"	"53538.9691"	"5839.604184"	NA	"1274.949279"	NA	"1.6515"	"1.4625"	"0.189"	"0.3195"	"1.3905"	"0.0865"	"0.094045202"	"0.095459415"	"0.001414214"	"0.014849242"	"0.006363961"	"0.004949747"	"1.243083333"	"0.008249579"	"13.167"	"38.04"	"1.553333333"	"0.596666667"	"28.722"	"Winter"
"3"	"9M"	"9/2/21 10:00"	"10:00:00"	"HFW-210209M"	"MIAU"	"HFW"	"BBMO"	"morning"	"9/2/21 10:00"	"2541.617095"	"3812.833228"	"520.8204693"	NA	NA	"2281.584129"	"57.97479037"	"435.0062414"	"76.29615798"	NA	NA	"51.13405093"	"181410.1517"	"0.751964251"	"377220.0361"	NA	"59849.64607"	"59849.64607"	"8181.300097"	NA	"1151.567091"	NA	"1.271"	"1.074"	"0.197"	"0.534"	"0.6005"	"0.0475"	"0.082024387"	"0.072124892"	"0.009899495"	"0.459619408"	"0.014849242"	"0.000707107"	"1.925583333"	"0.164991582"	NA	NA	NA	NA	NA	"Winter"
"4"	"9T"	"9/2/21 17:00"	"17:00:00"	"HFW-210209T"	"MIAU"	"HFW"	"BBMO"	"afternoon"	"9/2/21 17:00"	"1876.341797"	"1589.665365"	"422.4153646"	NA	NA	"1673.414714"	"68.03969274"	"150.9028479"	"42.98804116"	NA	NA	"2.816457869"	"156051.118"	"0.727492222"	"346545.8028"	NA	"58414.96067"	"58414.96067"	"8235.660895"	NA	"7348.09477"	NA	"1.802"	"1.621"	"0.181"	"0.2505"	"1.59"	"0.077"	"0.189504617"	"0.179605122"	"0.009899495"	"0.085559921"	"0.079195959"	"0"	"1.353916667"	"0.065996633"	"13.17866667"	"37.90333333"	"3.796666667"	"0.686666667"	"28.6126667"	"Winter"
"5"	"10M"	"10/2/21 10:00"	"10:00:00"	"HFW-210210M"	"MIAU"	"HFW"	"BBMO"	"morning"	"10/2/21 10:00"	"2398.496875"	"5007.669327"	"526.4045006"	NA	NA	"2510.69916"	"119.5783626"	"360.2100394"	"41.13774572"	NA	NA	"39.09963055"	"291687.0506"	"0.801052785"	"559497.2472"	NA	"72441.91854"	"72441.91854"	"22967.43715"	NA	"3783.720441"	NA	"1.491"	"1.316"	"0.175"	"0.258"	"0.999"	"0.0795"	"0.028284271"	"0.024041631"	"0.004242641"	"0.001414214"	"0.001414214"	"0.004949747"	"1.943083333"	"0.140242845"	"12.921"	"38.08333333"	"3.923333333"	"2.283333333"	"28.804"	"Winter"
"6"	"10T"	"10/2/21 17:00"	"17:00:00"	"HFW-210210T"	"MIAU"	"HFW"	"BBMO"	"afternoon"	"10/2/21 17:00"	"1764.741897"	"1658.492526"	"464.4419121"	NA	NA	"1562.65902"	"123.0616955"	"977.256524"	"477.281694"	NA	NA	"272.1575201"	"235783.9101"	"0.735212297"	"356301.8885"	NA	"85084.71494"	"85084.71494"	"21225.80081"	NA	"22329.36071"	NA	"1.0215"	"0.8645"	"0.157"	"0.2545"	"0.574"	"0.046"	"0.010606602"	"0.014849242"	"0.004242641"	"0.1251579"	"0.004242641"	"0.001414214"	"1.353916667"	"0.065996633"	"13.321"	"38.1575"	"10.405"	"0.605"	"28.78"	"Winter"
"7"	"11M"	"11/2/21 10:00"	"10:00:00"	"HFW-210211M"	"MIAU"	"HFW"	"BBMO"	"morning"	"11/2/21 10:00"	"2317.597734"	"2958.061566"	"640.968985"	NA	NA	"2236.13381"	"203.4910043"	"338.6568064"	"66.00341791"	NA	NA	"50.46532258"	"155825.1616"	"0.627907799"	"252568.6331"	NA	"92193.56555"	"92193.56555"	"17539.72055"	NA	"10769.40443"	NA	"1.4175"	"1.258"	"0.1595"	"0.0585"	"0.7335"	"0.044"	"0.12091526"	"0.113137085"	"0.007778175"	"0.024748737"	"0.050204581"	"0.004242641"	"0.952583333"	"0.052797306"	"13.2445"	"38.17"	"4.265"	"0.145"	"28.8055"	"Winter"
"8"	"11T"	"11/2/21 17:00"	"17:00:00"	"HFW-210211T"	"MIAU"	"HFW"	"BBMO"	"afternoon"	"11/2/21 17:00"	"2419.118973"	"2077.105283"	"813.1135417"	NA	NA	"2493.819048"	"146.9061689"	"705.2801939"	"458.86958"	NA	NA	"345.7844757"	"163218.7881"	"0.650356181"	"255285.2277"	NA	"86698.44512"	"86698.44512"	"7810.183111"	NA	"35336.17603"	NA	"1.3705"	"1.198"	"0.1725"	"0.0285"	"0.7475"	"0.0425"	"0.060104076"	"0.057982756"	"0.00212132"	"0.007778175"	"0.00212132"	"0.000707107"	"0.810833333"	"0.007424621"	"13.46675"	"38.1775"	"0.805"	"0.1825"	"28.76275"	"Winter"
"9"	"12M"	"12/2/21 10:00"	"10:00:00"	"HFW-210212M"	"MIAU"	"HFW"	"BBMO"	"morning"	"12/2/21 10:00"	"3159.10521"	"3019.667956"	"560.292515"	NA	NA	"2663.604967"	"2.764048788"	"1103.158376"	"195.1115535"	NA	NA	"255.7313084"	"186306.7317"	"0.620072183"	"292135.5556"	NA	"113868.1768"	"113868.1768"	"2826.761495"	NA	"16706.00133"	NA	"1.2945"	"1.1105"	"0.184"	"0.1285"	"0.656"	"0.037"	"0.026162951"	"0.028991378"	"0.002828427"	"0.003535534"	"0.009899495"	"0.001414214"	"1.37725"	"0"	"13.222"	"38.17"	"0.896666667"	"0.316666667"	"28.8076667"	"Winter"
"10"	"12T"	"12/2/21 17:00"	"17:00:00"	"HFW-210212T"	"MIAU"	"HFW"	"BBMO"	"afternoon"	"12/2/21 17:00"	"2642.133571"	"1978.258407"	"606.3185235"	NA	NA	"2325.69321"	"73.16146604"	"237.6918527"	"125.252253"	NA	NA	"211.53591"	"162941.0091"	"0.525305371"	"294786.375"	NA	"147572.6204"	"147572.6204"	"4129.350396"	NA	"3768.745483"	NA	"1.199"	"1.0395"	"0.1595"	"0.1615"	"0.6205"	"0.0475"	"0.045254834"	"0.043133514"	"0.00212132"	"0.077074639"	"0.010606602"	"0.000707107"	"1.48225"	"0.032998316"	"13.2875"	"38.1725"	"16.9275"	"0.31"	"28.7975"	"Winter"
