date;sampling_hour;sample_id;project;campain;sampling_site;day_moment;day
14/9/21;10:30;HFS_BL210914M;MIAU;HFS;BBMO;morning;14M
14/9/21;16:30;HFS_BL210914T;MIAU;HFS;BBMO;afternoon;14T
15/9/21;10:30;HFS_BL210915M;MIAU;HFS;BBMO;morning;15M
15/9/21;16:30;HFS_BL210915T;MIAU;HFS;BBMO;afternoon;15T
16/9/21;10:10;HFS_BL210916M;MIAU;HFS;BBMO;morning;16M
16/9/21;16:15;HFS_BL210916T;MIAU;HFS;BBMO;afternoon;16T
17/9/21;10:00;HFS_BL210917M;MIAU;HFS;BBMO;morning;17M
17/9/21;16:00;HFS_BL210917T;MIAU;HFS;BBMO;afternoon;17T
18/9/21;10:00;HFS_BL210918M;MIAU;HFS;BBMO;morning;18M
18/9/21;16:00;HFS_BL210918T;MIAU;HFS;BBMO;afternoon;18T
19/9/21;10:00;HFS_BL210919M;MIAU;HFS;BBMO;morning;19M
19/9/21;16:00;HFS_BL210919T;MIAU;HFS;BBMO;afternoon;19T
20/9/21;10:00;HFS_BL210920M;MIAU;HFS;BBMO;morning;20M
20/9/21;16:15;HFS_BL210920T;MIAU;HFS;BBMO;afternoon;20T
21/9/21;10:00;HFS_BL210921M;MIAU;HFS;BBMO;morning;21M
21/9/21;16:10;HFS_BL210921T;MIAU;HFS;BBMO;afternoon;21T
8/2/21;10:00;HFW_BL210208M;MIAU;HFW;BBMO;morning;08M
8/2/21;17:00;HFW_BL210208T;MIAU;HFW;BBMO;afternoon;08T
9/2/21;10:00;HFW_BL210209M;MIAU;HFW;BBMO;morning;09M
9/2/21;17:00;HFW_BL210209T;MIAU;HFW;BBMO;afternoon;09T
10/2/21;10:00;HFW_BL210210M;MIAU;HFW;BBMO;morning;10M
10/2/21;17:00;HFW_BL210210T;MIAU;HFW;BBMO;afternoon;10T
11/2/21;10:00;HFW_BL210211M;MIAU;HFW;BBMO;morning;11M
11/2/21;17:00;HFW_BL210211T;MIAU;HFW;BBMO;afternoon;11T
12/2/21;10:00;HFW_BL210212M;MIAU;HFW;BBMO;morning;12M
12/2/21;17:00;HFW_BL210212T;MIAU;HFW;BBMO;afternoon;12T
13/2/21;10:00;HFW_BL210213M;MIAU;HFW;BBMO;morning;13M
13/2/21;17:00;HFW_BL210213T;MIAU;HFW;BBMO;afternoon;13T
14/2/21;10:00;HFW_BL210214M;MIAU;HFW;BBMO;morning;14M
15/2/21;10:00;HFW_BL210215M;MIAU;HFW;BBMO;morning;15M
15/2/21;17:00;HFW_BL210215T;MIAU;HFW;BBMO;afternoon;15T
16/2/21;10:00;HFW_BL210216M;MIAU;HFW;BBMO;morning;16M
