"filter"	"asv_num"	"reads"	"Sample_id_ed"	"date.x"	"sampling_hour"	"date_hour"	"day_moment.x"	"season.x"	"day.y"	"mean_total_bac"	"NOxT_mean"	"Nitrats_mean"	"Nitrits_mean"	"Amonio_mean"	"silicato_mean"	"Fosfato_mean"	"Temp"	"Sal"	"chla_mean"	"Turb"	"Density"	"pseudoabundance"
"1"	0.2	"asv1"	52	"HFW-210208T"	"8/2/21"	"17:00:00"	"8/2/21 17:00:00"	"afternoon"	"Winter"	"8T"	324709.5571	1.6515	1.4625	0.189	0.3195	1.3905	0.0865	13.167	38.04	1.243083333	0.596666667	28.722	6459.40970512624
"2"	0.2	"asv1"	16	"HFW-210209M"	"9/2/21"	"10:00:00"	"9/2/21 10:00:00"	"morning"	"Winter"	"9M"	377220.0361	1.271	1.074	0.197	0.534	0.6005	0.0475	NA	NA	1.925583333	NA	NA	3448.86890148572
"3"	0.2	"asv1"	17	"HFW-210209T"	"9/2/21"	"17:00:00"	"9/2/21 17:00:00"	"afternoon"	"Winter"	"9T"	346545.8028	1.802	1.621	0.181	0.2505	1.59	0.077	13.17866667	37.90333333	1.353916667	0.686666667	28.6126667	4463.08988454545
"4"	0.2	"asv1"	41	"HFW-210210M"	"10/2/21"	"10:00:00"	"10/2/21 10:00:00"	"morning"	"Winter"	"10M"	559497.2472	1.491	1.316	0.175	0.258	0.999	0.0795	12.921	38.08333333	1.943083333	2.283333333	28.804	9287.20126931174
"5"	0.2	"asv1"	16	"HFW-210210T"	"10/2/21"	"17:00:00"	"10/2/21 17:00:00"	"afternoon"	"Winter"	"10T"	356301.8885	1.0215	0.8645	0.157	0.2545	0.574	0.046	13.321	38.1575	1.353916667	0.605	28.78	1791.02425887527
"6"	0.2	"asv1"	48	"HFW-210211M"	"11/2/21"	"10:00:00"	"11/2/21 10:00:00"	"morning"	"Winter"	"11M"	252568.6331	1.4175	1.258	0.1595	0.0585	0.7335	0.044	13.2445	38.17	0.952583333	0.145	28.8055	3223.42312916777
"7"	0.2	"asv1"	10	"HFW-210211T"	"11/2/21"	"17:00:00"	"11/2/21 17:00:00"	"afternoon"	"Winter"	"11T"	255285.2277	1.3705	1.198	0.1725	0.0285	0.7475	0.0425	13.46675	38.1775	0.810833333	0.1825	28.76275	1443.10473544375
"8"	0.2	"asv1"	39	"HFW-210212M"	"12/2/21"	"10:00:00"	"12/2/21 10:00:00"	"morning"	"Winter"	"12M"	292135.5556	1.2945	1.1105	0.184	0.1285	0.656	0.037	13.222	38.17	1.37725	0.316666667	28.8076667	3849.08333391892
"9"	0.2	"asv1"	30	"HFW-210212T"	"12/2/21"	"17:00:00"	"12/2/21 17:00:00"	"afternoon"	"Winter"	"12T"	294786.375	1.199	1.0395	0.1595	0.1615	0.6205	0.0475	13.2875	38.1725	1.48225	0.31	28.7975	2152.77294303797
"10"	0.2	"asv1"	26	"HFW-210213M"	"13/2/21"	"10:00:00"	"13/2/21 10:00:00"	"morning"	"Winter"	"13M"	323933.8667	0.9805	0.847	0.1335	0.339	0.4505	0.038	13.303	38.17	2.083083333	0.23	28.7972	3021.98799217797
"11"	0.2	"asv1"	21	"HFW-210213T"	"13/2/21"	"17:00:00"	"13/2/21 17:00:00"	"afternoon"	"Winter"	"13T"	368221.7	0.8465	0.7145	0.132	1.2405	0.393	0.0455	13.42133333	38.16666667	1.896416667	0.47	28.7646667	4567.42805670408
"12"	0.2	"asv1"	24	"HFW-210214M"	"14/2/21"	"10:00:00"	"14/2/21 10:00:00"	"morning"	"Winter"	"14M"	342550.0944	0.897	0.774	0.123	0.024	0.403	0.0385	13.345	38.175	1.72725	0.405	28.789	2971.16091998554
"13"	0.2	"asv1"	22	"HFW-210215M"	"15/2/21"	"10:00:00"	"15/2/21 10:00:00"	"morning"	"Winter"	"15M"	414886.8889	1.02	0.8415	0.1785	0.15	0.434	0.0515	13.175	38.18	1.738916667	0.7925	28.827	5694.01843780412
"14"	0.2	"asv1"	17	"HFW-210215T"	"15/2/21"	"17:00:00"	"15/2/21 17:00:00"	"afternoon"	"Winter"	"15T"	430742.3167	0.9735	0.796	0.1775	0.119	0.5575	0.0555	13.205	38.17666667	1.960583333	0.926666667	28.8176667	3084.50690139006
"15"	0.2	"asv1"	19	"HFW-210216M"	"16/2/21"	"10:00:00"	"16/2/21 10:00:00"	"morning"	"Winter"	"16M"	515560.2278	1.382	1.163	0.219	0.136	0.8125	0.0645	13.10433333	38.15333333	1.791416667	1.123333333	28.8236667	3777.72631245661
"16"	0.2	"asv1"	3428	"HFS-210914M"	"14/9/21"	"10:30:00"	"14/9/21 10:30:00"	"morning"	"Summer"	"14M"	761400.75	0.2	0.178	0.022	1.0585	0.605	1.055	23.6	37.92	0.168	0.21	26.01	336480.826479309
"17"	0.2	"asv1"	2667	"HFS-210914T"	"14/9/21"	"16:30:00"	"14/9/21 16:30:00"	"afternoon"	"Summer"	"14T"	789785.5625	0.276	0.2535	0.0225	0.235	0.9095	0.0155	23.9	NA	0.191333333	NA	NA	256904.268226308
"18"	0.2	"asv1"	3197	"HFS-210915M"	"15/9/21"	"10:30:00"	"15/9/21 10:30:00"	"morning"	"Summer"	"15M"	878219.1458	1.719	1.6965	0.0225	0.2765	0.3835	0.0225	24.1	37.93	0.288166667	3.27	25.81	314232.412884454
"19"	0.2	"asv1"	3221	"HFS-210915T"	"15/9/21"	"16:30:00"	"15/9/21 16:30:00"	"afternoon"	"Summer"	"15T"	793666.0417	1.613	1.589	0.024	0.229	0.7225	0.024	24.3	NA	0.194833333	NA	NA	291560.027408269
"20"	0.2	"asv1"	3185	"HFS-210916M"	"16/9/21"	"10:10:00"	"16/9/21 10:10:00"	"morning"	"Summer"	"16M"	870354.8333	3.1575	3.121	0.0365	0.3495	0.8645	0.0325	23.1	37.6	0.189	0.87	25.87	318703.166711945
"21"	0.2	"asv1"	1887	"HFS-210916T"	"16/9/21"	"16:15:00"	"16/9/21 16:15:00"	"afternoon"	"Summer"	"16T"	825423.9583	0.9375	0.881	0.0565	0.777	0.814	0.0445	24.7	37.15	0.238	6.06	25.1	277593.12231547
"22"	0.2	"asv1"	1193	"HFS-210917M"	"17/9/21"	"10:00:00"	"17/9/21 10:00:00"	"morning"	"Summer"	"17M"	1083846.958	2.8775	2.7655	0.112	1.4025	2.042	0.134	23.2	36.94	0.337166667	3.4	25.31	329602.197525873
"23"	0.2	"asv1"	3305	"HFS-210917T"	"17/9/21"	"16:00:00"	"17/9/21 16:00:00"	"afternoon"	"Summer"	"17T"	975221.7292	1.2655	1.227	0.0385	1.008	1.0355	0.0315	22.8	37.55	0.289333333	6.17	25.51	279735.099375629
"24"	0.2	"asv1"	4486	"HFS-210918M"	"18/9/21"	"10:00:00"	"18/9/21 10:00:00"	"morning"	"Summer"	"18M"	1054287.667	1.618	1.5765	0.0415	0.6985	1.218	0.025	23.4	37.77	0.284666667	0.52	26.06	349843.514621052
"25"	0.2	"asv1"	3713	"HFS-210918T"	"18/9/21"	"16:00:00"	"18/9/21 16:00:00"	"afternoon"	"Summer"	"18T"	642653.55	0.3025	0.2815	0.021	0.2945	0.534	0.0355	22.4	37.75	0.127166667	6.28	25.5	199880.43484252
"26"	0.2	"asv1"	4310	"HFS-210919M"	"19/9/21"	"10:00:00"	"19/9/21 10:00:00"	"morning"	"Summer"	"19M"	736639.75	0.169	0.154	0.015	0.11	0.4665	0.0085	24.6	37.81	0.119583333	0.11	25.57	250348.314343164
"27"	0.2	"asv1"	3113	"HFS-210919T"	"19/9/21"	"16:00:00"	"19/9/21 16:00:00"	"afternoon"	"Summer"	"19T"	700343.05	1.955	1.9205	0.0345	1.0305	0.439	0.0155	23.6	37.81	0.145833333	10.61	25.59	176431.813114024
"28"	0.2	"asv1"	3459	"HFS-210920M"	"20/9/21"	"10:00:00"	"20/9/21 10:00:00"	"morning"	"Summer"	"20M"	906903.25	1.0255	0.99	0.0355	0.5985	0.7895	0.072	23.6	37.82	0.300416667	0.45	25.9	262245.305279218
"29"	0.2	"asv1"	5174	"HFS-210920T"	"20/9/21"	"16:15:00"	"20/9/21 16:15:00"	"afternoon"	"Summer"	"20T"	834272.45	3.1215	3.0945	0.027	0.187	0.659	0.0855	23.9	37.81	0.156916667	0.14	25.82	321648.707622951
"30"	0.2	"asv1"	3219	"HFS-210921M"	"21/9/21"	"10:00:00"	"21/9/21 10:00:00"	"morning"	"Summer"	"21M"	805371.6	0.4775	0.4545	0.023	0.335	0.503	0.023	23.9	37.78	0.132416667	3.2	25.79	219423.713956835
"31"	0.2	"asv1"	3325	"HFS-210921T"	"21/9/21"	"16:10:00"	"21/9/21 16:10:00"	"afternoon"	"Summer"	"21T"	734694.95	0.5715	0.5475	0.024	0.8725	0.4905	0.0435	24.1	37.79	0.128916667	0.11	25.71	184339.021185481
"32"	0.2	"asv1"	56	"HFW-210208M"	"8/2/21"	"10:00:00"	"8/2/21 10:00:00"	"morning"	"Winter"	"8M"	290677.8346	1.0525	0.89	0.1625	0.4645	0.5565	0.043	13.1902	38.136	1.213916667	0.194	28.7898	5488.1856836143
"33"	0.2	"asv2"	775	"HFW-210208T"	"8/2/21"	"17:00:00"	"8/2/21 17:00:00"	"afternoon"	"Winter"	"8T"	324709.5571	1.6515	1.4625	0.189	0.3195	1.3905	0.0865	13.167	38.04	1.243083333	0.596666667	28.722	96270.0484898623
"34"	0.2	"asv2"	541	"HFW-210209M"	"9/2/21"	"10:00:00"	"9/2/21 10:00:00"	"morning"	"Winter"	"9M"	377220.0361	1.271	1.074	0.197	0.534	0.6005	0.0475	NA	NA	1.925583333	NA	NA	116614.879731486
"35"	0.2	"asv2"	390	"HFW-210209T"	"9/2/21"	"17:00:00"	"9/2/21 17:00:00"	"afternoon"	"Winter"	"9T"	346545.8028	1.802	1.621	0.181	0.2505	1.59	0.077	13.17866667	37.90333333	1.353916667	0.686666667	28.6126667	102388.532645455
"36"	0.2	"asv2"	674	"HFW-210210M"	"10/2/21"	"10:00:00"	"10/2/21 10:00:00"	"morning"	"Winter"	"10M"	559497.2472	1.491	1.316	0.175	0.258	0.999	0.0795	12.921	38.08333333	1.943083333	2.283333333	28.804	152672.52818332
"37"	0.2	"asv2"	909	"HFW-210210T"	"10/2/21"	"17:00:00"	"10/2/21 17:00:00"	"afternoon"	"Winter"	"10T"	356301.8885	1.0215	0.8645	0.157	0.2545	0.574	0.046	13.321	38.1575	1.353916667	0.605	28.78	101752.565707352
"38"	0.2	"asv2"	1194	"HFW-210211M"	"11/2/21"	"10:00:00"	"11/2/21 10:00:00"	"morning"	"Winter"	"11M"	252568.6331	1.4175	1.258	0.1595	0.0585	0.7335	0.044	13.2445	38.17	0.952583333	0.145	28.8055	80182.6503380484
"39"	0.2	"asv2"	531	"HFW-210211T"	"11/2/21"	"17:00:00"	"11/2/21 17:00:00"	"afternoon"	"Winter"	"11T"	255285.2277	1.3705	1.198	0.1725	0.0285	0.7475	0.0425	13.46675	38.1775	0.810833333	0.1825	28.76275	76628.8614520633
"40"	0.2	"asv2"	832	"HFW-210212M"	"12/2/21"	"10:00:00"	"12/2/21 10:00:00"	"morning"	"Winter"	"12M"	292135.5556	1.2945	1.1105	0.184	0.1285	0.656	0.037	13.222	38.17	1.37725	0.316666667	28.8076667	82113.7777902703
"41"	0.2	"asv2"	1262	"HFW-210212T"	"12/2/21"	"17:00:00"	"12/2/21 17:00:00"	"afternoon"	"Winter"	"12T"	294786.375	1.199	1.0395	0.1595	0.1615	0.6205	0.0475	13.2875	38.1725	1.48225	0.31	28.7975	90559.9818037975
"42"	0.2	"asv2"	792	"HFW-210213M"	"13/2/21"	"10:00:00"	"13/2/21 10:00:00"	"morning"	"Winter"	"13M"	323933.8667	0.9805	0.847	0.1335	0.339	0.4505	0.038	13.303	38.17	2.083083333	0.23	28.7972	92054.4034540366
"43"	0.2	"asv2"	520	"HFW-210213T"	"13/2/21"	"17:00:00"	"13/2/21 17:00:00"	"afternoon"	"Winter"	"13T"	368221.7	0.8465	0.7145	0.132	1.2405	0.393	0.0455	13.42133333	38.16666667	1.896416667	0.47	28.7646667	113098.218546958
"44"	0.2	"asv2"	852	"HFW-210214M"	"14/2/21"	"10:00:00"	"14/2/21 10:00:00"	"morning"	"Winter"	"14M"	342550.0944	0.897	0.774	0.123	0.024	0.403	0.0385	13.345	38.175	1.72725	0.405	28.789	105476.212659487
"45"	0.2	"asv2"	425	"HFW-210215M"	"15/2/21"	"10:00:00"	"15/2/21 10:00:00"	"morning"	"Winter"	"15M"	414886.8889	1.02	0.8415	0.1785	0.15	0.434	0.0515	13.175	38.18	1.738916667	0.7925	28.827	109998.08345758
"46"	0.2	"asv2"	724	"HFW-210215T"	"15/2/21"	"17:00:00"	"15/2/21 17:00:00"	"afternoon"	"Winter"	"15T"	430742.3167	0.9735	0.796	0.1775	0.119	0.5575	0.0555	13.205	38.17666667	1.960583333	0.926666667	28.8176667	131363.70568273
"47"	0.2	"asv2"	713	"HFW-210216M"	"16/2/21"	"10:00:00"	"16/2/21 10:00:00"	"morning"	"Winter"	"16M"	515560.2278	1.382	1.163	0.219	0.136	0.8125	0.0645	13.10433333	38.15333333	1.791416667	1.123333333	28.8236667	141764.150567451
"48"	0.2	"asv2"	1427	"HFS-210914M"	"14/9/21"	"10:30:00"	"14/9/21 10:30:00"	"morning"	"Summer"	"14M"	761400.75	0.2	0.178	0.022	1.0585	0.605	1.055	23.6	37.92	0.168	0.21	26.01	140069.468899059
"49"	0.2	"asv2"	1869	"HFS-210914T"	"14/9/21"	"16:30:00"	"14/9/21 16:30:00"	"afternoon"	"Summer"	"14T"	789785.5625	0.276	0.2535	0.0225	0.235	0.9095	0.0155	23.9	NA	0.191333333	NA	NA	180035.274583791
"50"	0.2	"asv2"	1613	"HFS-210915M"	"15/9/21"	"10:30:00"	"15/9/21 10:30:00"	"morning"	"Summer"	"15M"	878219.1458	1.719	1.6965	0.0225	0.2765	0.3835	0.0225	24.1	37.93	0.288166667	3.27	25.81	158541.408189748
"51"	0.2	"asv2"	1843	"HFS-210915T"	"15/9/21"	"16:30:00"	"15/9/21 16:30:00"	"afternoon"	"Summer"	"15T"	793666.0417	1.613	1.589	0.024	0.229	0.7225	0.024	24.3	NA	0.194833333	NA	NA	166825.560544377
"52"	0.2	"asv2"	1626	"HFS-210916M"	"16/9/21"	"10:10:00"	"16/9/21 10:10:00"	"morning"	"Summer"	"16M"	870354.8333	3.1575	3.121	0.0365	0.3495	0.8645	0.0325	23.1	37.6	0.189	0.87	25.87	162703.720274293
"53"	0.2	"asv2"	1048	"HFS-210916T"	"16/9/21"	"16:15:00"	"16/9/21 16:15:00"	"afternoon"	"Summer"	"16T"	825423.9583	0.9375	0.881	0.0565	0.777	0.814	0.0445	24.7	37.15	0.238	6.06	25.1	154169.365228729
